a-descriptionID,type,title,text,reply_list,reply_list2,reply_list3
d17015,confirm,,您只能：,r17004,r17005,
d17016,text,,Sphinx 罕見地露出了羞澀的面貌，並說道：,,,
d17017,text,,"【Sphinx】：
「如，如果你們幫我看看這本書在說什麼的話，我就考慮把這塊水晶給你們！」 ",,,
d17018,text,,Sphinx 手中幻化出一本神秘的書，上面寫到：,,,
d17100,text,,Sphinx 眨著閃亮亮的眼睛看著您，心裡升起無限崇敬之意。,,,
d17101,text,,"【Sphinx】：
勇者 $username 大人！請讓我跟隨你吧！隔壁小花跟我說，只要我會念這本書，就答應和我約會！您真的太厲害了！",,,
d17102,confirm,,您覺得Sphinx 太無聊了，因此您：,r17100,r17101,
d17103,text,,Silas 從 Sphinx 手中拿走綠水晶後，不管Sphinx 在後面如何呼喚您，馬上帶您去下一個目的地。,,,
d17200,text,,"【Sphinx】：
咦？是這個意思嗎？我以為這是隔壁小花寫給我的情書……",,,
d17201,text,,Sphinx 無精打采地把玩著綠水晶，眺望著遠方，應該是在想念小花。,,,
d17202,text,,"【Silas】：
勇者 $username ，看在牠那麼癡情的份上，您要不要再試著幫牠解答多一次？",,,
d17300,text,,"【Sphinx】：
好像也不是這個意思…… 唉，隔壁小花說如果我都看不懂這本書在講什麼的話，就不再跟我見面……我看我還是把這塊綠水晶送給牠，當作賠罪好了……",,,
d17301,text,,Sphinx 拿著綠水晶，沮喪地離開了。,,,
d17302,text,,"【Silas】：
勇者 $username ，看來 Sphinx 真的很在乎小花…… 我們再去下一個地方找找看吧！",,,
