a-descriptionID,type,title,text,reply_list,reply_list2,reply_list3
d27001,text,,由於鮮少有人進入，地下道內充斥著濃厚的潮濕味以及淡淡的霉味。看著周圍泛黃的牆壁，踩在濕漉漉的地板，聽著滴答的水聲，感受著周圍陰森的風，您不禁缩了缩肩膀。,,,
d27002,text,,突然，您聽見了「啪嗒，啪嗒」的聲音，轉角處似乎有巨大的影子，正緩緩地向你走來。,,,
d27003,text,,您與 Keith 踩著緩慢的腳步走到轉角處，看見一個人頭、獅身、有著巨大翅膀的怪物在瞪著你。,,,
d27004,confirm,,您：,r27000,r27001,
d27005,text,,"【Keith】：
勇者 $username ，這是我們領主養的貓，牠叫 Cheshire。",,,
d27006,text,,"【Cheshire】：
喵。你可以叫我 Cheshire 大人。",,,
d27007,confirm,,您：,r27002,r27003,
d27008,text,,"【Keith】：
Cheshire，你知道兩天前發生的戰爭嗎？",,,
d27009,text,,"【Cheshire】：
我知道。",,,
d27010,text,,"【Keith】：
你為什麼沒有一起參戰呢？",,,
d27011,text,,"【Cheshire】：
因為我太懶了。而且我只是一只貓。喵。",,,
d27012,text,,您下定決心，想要趕快離開這只無聊的貓時，突然看到牠正在把玩的藍色小物。您暗示 Keith，請他幫忙看一看，是不是你們要找的藍水晶。,,,
d27013,text,,"【Keith】：
Cheshire 大人，可以給我們看看你爪下的玩具嗎？",,,
d27014,text,,"【Cheshire】：
不可以。",,,
d27015,confirm,,您只能：,r27004,r27005,
d27016,text,,Cheshire 罕見地露出了羞澀的面貌，並說道：,,,
d27017,text,,"【Cheshire】：
「如，如果你們幫我看看這本書在說什麼的話，我就考慮把這塊水晶給你們！」 ",,,
d27018,text,,Cheshire 手中幻化出一本神秘的書，上面寫到：,,,
d27100,text,,Cheshire 眨著閃亮亮的眼睛看著您，心裡升起無限崇敬之意。,,,
d27101,text,,"【Cheshire】：
勇者 $username 大人！請讓我跟隨你吧！隔壁小櫻跟我說，只要我會念這本書，就答應和我約會！您真的太厲害了！",,,
d27102,confirm,,您覺得Cheshire 太無聊了，因此您：,r27100,r27101,
d27103,text,,Keith 從 Cheshire 手中拿走藍水晶後，不管Cheshire 在後面如何呼喚您，馬上帶您去下一個目的地。,,,
d27200,text,,"【Cheshire】：
咦？是這個意思嗎？我以為這是隔壁小櫻寫給我的情書……",,,
d27201,text,,Cheshire 無精打采地把玩著藍水晶，眺望著遠方，應該是在想念小櫻。,,,
d27202,text,,"【Keith】：
勇者 $username ，看在牠那麼癡情的份上，您要不要再試著幫牠解答多一次？",,,
d27300,text,,"【Cheshire】：
好像也不是這個意思…… 唉，隔壁小櫻說如果我都看不懂這本書在講什麼的話，就不再跟我見面……我看我還是把這塊藍水晶送給牠，當作賠罪好了……",,,
d27301,text,,Cheshire 拿著藍水晶，沮喪地離開了。,,,
d27302,text,,"【Keith】：
勇者 $username ，看來 Cheshire 真的很在乎小櫻…… 我們再去下一個地方找找看吧！",,,
